method,tag,seed,budgetFraction,budgetPct,budgetSeconds,elapsedPhase,mutantsEvaluated,killed,retainedKills,retainedCount,outsideBaseline,killedFromTrace,mutationScore,populationKillCoverage,status,feasible,populationKillCoverageUncond,recordedMutationScore,decisionPct,conditionPct,mcdcPct,uniqueTests
random_mutant,seed01_b010,1,0.1,10,290.978598800001,291.871504999995,19,14,10,14,0,14,73.6842105263158,7.65027322404372,,1,7.65027322404372,73.6842105263158,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed01_b020,1,0.2,20,581.957197600001,599.864701000005,39,28,20,28,0,28,71.7948717948718,15.3005464480874,,1,15.3005464480874,71.7948717948718,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed01_b030,1,0.3,30,872.935796400002,878.348197999999,56,38,27.1428571428571,38,0,38,67.8571428571429,20.7650273224044,,1,20.7650273224044,67.8571428571429,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed01_b040,1,0.4,40,1163.9143952,1164.746123,79,57,40.7142857142857,57,0,57,72.1518987341772,31.1475409836066,,1,31.1475409836066,72.1518987341772,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed01_b050,1,0.5,50,1454.892994,1477.01771599999,100,71,50.7142857142857,71,0,71,71,38.7978142076503,,1,38.7978142076503,71,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed02_b010,2,0.1,10,290.978598800001,295.111591999993,23,18,12.8571428571429,18,0,18,78.2608695652174,9.83606557377049,,1,9.83606557377049,78.2608695652174,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed02_b020,2,0.2,20,581.957197600001,582.389055000007,40,30,21.4285714285714,30,0,30,75,16.3934426229508,,1,16.3934426229508,75,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed02_b030,2,0.3,30,872.935796400002,894.365596999988,61,46,32.8571428571429,46,0,46,75.4098360655738,25.1366120218579,,1,25.1366120218579,75.4098360655738,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed02_b040,2,0.4,40,1163.9143952,1177.86251100001,78,60,42.8571428571429,60,0,60,76.9230769230769,32.7868852459016,,1,32.7868852459016,76.9230769230769,97.8723404255319,81.0810810810811,64.8648648648649,25
random_mutant,seed02_b050,2,0.5,50,1454.892994,1481.181692,99,75,53.5714285714286,75,0,75,75.7575757575758,40.9836065573771,,1,40.9836065573771,75.7575757575758,97.8723404255319,81.0810810810811,64.8648648648649,25
